Position,Name,Fantasy Points,Salary,Away,Home,Score,Minutes,Stats,Site,ID,Date,First Name,Last Name
SG,"Butler, Jimmy^",61.9,"$9,500",min,v cle,131-123,36:05,33pt 7rb 3as 4st 2bl 2to 1trey 10-12fg 12-12ft,fd,4363x,2018-10-19,Jimmy,Butler
PG,"Curry, Stephen^",49.8,"$9,600",gsw,@ uta,124-123,37:08,31pt 4rb 8as 2st 4to 5trey 13-24fg 0-1ft,fd,4173x,2018-10-19,Stephen,Curry
SG,"Holiday, Jrue^",43.2,"$8,100",nor,v sac,149-129,26:56,15pt 6rb 10as 3st 3to 5-11fg 5-6ft,fd,4212x,2018-10-19,Jrue,Holiday
SG,"Temple, Garrett^",42.8,"$3,800",mem,v atl,131-117,33:49,30pt 4rb 2as 1st 1bl 1to 5trey 10-11fg 5-7ft,fd,4199x,2018-10-19,Garrett,Temple
PG,"Bledsoe, Eric^",41.7,"$7,200",mil,v ind,118-101,26:02,12pt 6rb 7as 2st 2bl 2trey 5-9fg,fd,4266x,2018-10-19,Eric,Bledsoe
PG,"Young, Trae^",38.9,"$6,100",atl,@ mem,117-131,33:05,20pt 2rb 9as 1st 1bl 3to 4trey 7-18fg 2-3ft,fd,5708x,2018-10-19,Trae,Young
SG,"LeVert, Caris^",38.7,"$7,400",bkn,v nyk,107-105,32:23,28pt 6rb 5as 4to 2trey 8-13fg 10-11ft,fd,4992x,2018-10-19,Caris,LeVert
SG,"Hardaway Jr., Tim^",38.4,"$7,000",nyk,@ bkn,105-107,36:28,29pt 2rb 3st 2to 3trey 10-25fg 6-7ft,fd,4628x,2018-10-19,Tim,Hardaway Jr.
PG,"Conley, Mike^",37.3,"$7,900",mem,v atl,131-117,25:00,16pt 4rb 11as 2trey 6-13fg 2-3ft,fd,3979x,2018-10-19,Mike,Conley
PG,"Irving, Kyrie^",36.8,"$8,000",bos,@ tor,101-113,35:56,21pt 4rb 6as 1bl 1to 1trey 10-20fg,fd,4379x,2018-10-19,Kyrie,Irving
PG,"Walker, Kemba^",35.9,"$8,800",cha,@ orl,120-88,26:46,26pt 2rb 5as 1st 3to 5trey 8-17fg 5-5ft,fd,4440x,2018-10-19,Kemba,Walker
SG,"Brogdon, Malcolm^",34.3,"$5,400",mil,v ind,118-101,27:26,15pt 4rb 7as 2st 2to 2trey 6-9fg 1-1ft,fd,5013x,2018-10-19,Malcolm,Brogdon
SG,"Middleton, Khris^",33.8,"$7,900",mil,v ind,118-101,30:34,23pt 4rb 4as 1st 3to 5trey 7-15fg 4-6ft,fd,4490x,2018-10-19,Khris,Middleton
SG,"Oladipo, Victor^",33.5,"$8,400",ind,@ mil,101-118,31:41,25pt 5rb 1as 1bl 2to 1trey 10-23fg 4-6ft,fd,4627x,2018-10-19,Victor,Oladipo
PG,"Russell, D'Angelo^",32,"$6,800",bkn,v nyk,107-105,33:46,15pt 5rb 6as 1st 1bl 4to 2trey 5-12fg 3-3ft,fd,4799x,2018-10-19,D'Angelo,Russell
SG,"Mitchell, Donovan^",31.9,"$8,000",uta,v gsw,123-124,34:41,19pt 2rb 3as 2st 4trey 7-23fg 1-2ft,fd,5136x,2018-10-19,Donovan,Mitchell
PG,"Fox, De'Aaron^",31.4,"$6,500",sac,@ nor,129-149,26:55,18pt 7rb 6as 4to 6-12fg 6-7ft,fd,5132x,2018-10-19,De'Aaron,Fox
SG,"Mason III, Frank",31.2,"$3,700",sac,@ nor,129-149,21:05,18pt 1rb 6as 1st 1trey 7-13fg 3-4ft,fd,5153x,2018-10-19,Frank,Mason III
PG,"Lowry, Kyle^",31.2,"$8,200",tor,v bos,113-101,34:19,15pt 6rb 6as 3trey 5-8fg 2-4ft,fd,3891x,2018-10-19,Kyle,Lowry
SG,"Green, Danny^",29.5,"$4,900",tor,v bos,113-101,32:28,14pt 5rb 3as 1st 1bl 1to 4trey 5-8fg,fd,4193x,2018-10-19,Danny,Green
PG,"Rose, Derrick",28.8,"$4,000",min,v cle,131-123,23:23,12pt 4rb 8as 3-6fg 6-6ft,fd,4073x,2018-10-19,Derrick,Rose
PG,"Rubio, Ricky^",28.6,"$6,300",uta,v gsw,123-124,32:51,13pt 3rb 10as 3to 3trey 5-12fg,fd,4414x,2018-10-19,Ricky,Rubio
SG,"Clarkson, Jordan",28.3,"$4,300",cle,@ min,123-131,23:42,19pt 4rb 1as 1st 1bl 3to 8-14fg 3-3ft,fd,4668x,2018-10-19,Jordan,Clarkson
PG,"Payton, Elfrid^",28.2,"$7,000",nor,v sac,149-129,24:05,11pt 6rb 6as 1bl 2to 1trey 5-7fg,fd,4699x,2018-10-19,Elfrid,Payton
PG,"VanVleet, Fred",26.7,"$4,400",tor,v bos,113-101,27:43,11pt 6rb 7as 2to 2trey 4-11fg 1-3ft,fd,4934x,2018-10-19,Fred,VanVleet
PG,"Ntilikina, Frank^",25.2,"$5,100",nyk,@ bkn,105-107,30:42,9pt 1rb 4as 3st 1trey 4-9fg,fd,5219x,2018-10-19,Frank,Ntilikina
SG,"Hield, Buddy^",24.9,"$6,300",sac,@ nor,129-149,26:50,17pt 2rb 3as 1bl 2to 3trey 7-11fg,fd,4961x,2018-10-19,Buddy,Hield
SG,"Lamb, Jeremy^",23.9,"$5,300",cha,@ orl,120-88,25:05,8pt 7rb 1as 1st 1bl 2-7fg 4-4ft,fd,4514x,2018-10-19,Jeremy,Lamb
PG,"Felton, Raymond",23.3,"$3,600",okc,@ lac,92-108,17:59,12pt 4rb 3as 1bl 1to 5-12fg 2-2ft,fd,3747x,2018-10-19,Raymond,Felton
PG,"Burke, Trey^",23,"$5,800",nyk,@ bkn,105-107,29:56,8pt 5rb 4as 1st 2trey 3-11fg,fd,4615x,2018-10-19,Trey,Burke
PG,"Teague, Jeff^",22.1,"$7,000",min,v cle,131-123,31:28,9pt 3rb 7as 1to 3-9fg 3-3ft,fd,4221x,2018-10-19,Jeff,Teague
PG,"Rozier, Terry",21.5,"$4,700",bos,@ tor,101-113,23:13,8pt 5rb 3as 1st 2trey 2-7fg 2-2ft,fd,4823x,2018-10-19,Terry,Rozier
SG,"Bazemore, Kent^",21.1,"$5,900",atl,@ mem,117-131,22:01,3pt 8rb 1as 2st 1bl 2to 1-3fg 1-4ft,fd,4507x,2018-10-19,Kent,Bazemore
SG,"Williams, Louis",20.7,"$6,400",lac,v okc,108-92,26:29,17pt 1rb 1as 1st 2to 2trey 4-12fg 7-7ft,fd,3816x,2018-10-19,Louis,Williams
SG,"Schroder, Dennis^",19.4,"$7,000",okc,@ lac,92-108,30:01,8pt 2rb 8as 3to 2-15fg 4-4ft,fd,4595x,2018-10-19,Dennis,Schroder
SG,"Thompson, Klay^",19.3,"$6,400",gsw,@ uta,124-123,35:53,12pt 4rb 1as 1bl 2to 4-9fg 4-4ft,fd,4367x,2018-10-19,Klay,Thompson
PG,"Dinwiddie, Spencer",18.6,"$5,500",bkn,v nyk,107-105,31:06,10pt 3rb 6as 4to 2trey 4-12fg,fd,4760x,2018-10-19,Spencer,Dinwiddie
PG,"Beverley, Patrick^",18.3,"$5,100",lac,v okc,108-92,24:44,7pt 4rb 5as 1to 1trey 1-5fg 4-4ft,fd,4234x,2018-10-19,Patrick,Beverley
PG,"Grant, Jerian",18.2,"$3,900",orl,v cha,88-120,24:59,7pt 1rb 2as 3st 2to 1trey 3-7fg,fd,4873x,2018-10-19,Jerian,Grant
PG,"Sexton, Collin",17.9,"$4,200",cle,@ min,123-131,23:03,14pt 2rb 1as 6-9fg 2-2ft,fd,5721x,2018-10-19,Collin,Sexton
SG,"Ross, Terrence",17.2,"$4,400",orl,v cha,88-120,19:02,14pt 1rb 1st 1to 1trey 4-10fg 5-5ft,fd,4549x,2018-10-19,Terrence,Ross
SG,"Carter, Vince^",16.9,"$3,700",atl,@ mem,117-131,20:15,10pt 2rb 1as 1bl 2trey 2-7fg 4-4ft,fd,2448x,2018-10-19,Vince,Carter
PG,"Collison, Darren^",16.9,"$4,600",ind,@ mil,101-118,26:48,10pt 2rb 3as 1st 3to 4-6fg 2-2ft,fd,4228x,2018-10-19,Darren,Collison
SG,"Brown, Jaylen^",16.8,"$5,300",bos,@ tor,101-113,24:10,13pt 4rb 1to 3trey 5-10fg 0-2ft,fd,5017x,2018-10-19,Jaylen,Brown
PG,"Livingston, Shaun",16.6,"$3,600",gsw,@ uta,124-123,18:17,8pt 3rb 2as 1st 1to 3-4fg 2-2ft,fd,3651x,2018-10-19,Shaun,Livingston
SG,"Smart, Marcus",16.4,"$5,000",bos,@ tor,101-113,21:52,2pt 2rb 6as 1bl 1-6fg,fd,4677x,2018-10-19,Marcus,Smart
SG,"Hood, Rodney^",16.2,"$5,000",cle,@ min,123-131,29:09,10pt 1rb 2as 1st 1to 3-10fg 4-4ft,fd,4744x,2018-10-19,Rodney,Hood
PG,"Briscoe, Isaiah",15.7,"$3,500",orl,v cha,88-120,10:04,10pt 1rb 3as 1trey 4-5fg 1-3ft,fd,5181x,2018-10-19,Isaiah,Briscoe
PG,"Mack, Shelvin",14.9,"$3,800",mem,v atl,131-117,25:00,9pt 2rb 1as 1st 1to 3-5fg 3-4ft,fd,4377x,2018-10-19,Shelvin,Mack
