Position,Name,Fantasy Points,Salary,Away,Home,Score,Minutes,Stats,Site,ID,Date,First Name,Last Name
SG,"Fournier, Evan^",14.9,"$6,000",orl,v cha,88-120,25:05,12pt 2rb 1as 1to 2trey 5-15fg,fd,4468x,2018-10-19,Evan,Fournier
SG,"Abrines, Alex",14.9,"$3,700",okc,@ lac,92-108,32:06,10pt 2rb 1as 1st 2to 2trey 4-10fg,fd,4943x,2018-10-19,Alex,Abrines
PG,"Exum, Dante",14.4,"$4,300",uta,v gsw,123-124,18:12,13pt 2rb 1to 1trey 4-5fg 4-4ft,fd,4707x,2018-10-19,Dante,Exum
PG,"Ferrell, Yogi^",14.4,"$3,900",sac,@ nor,129-149,21:05,7pt 2rb 2as 1st 1to 1trey 2-3fg 2-2ft,fd,4970x,2018-10-19,Yogi,Ferrell
SG,"Monk, Malik",14.2,"$5,500",cha,@ orl,120-88,23:37,11pt 1rb 2as 1to 2trey 4-12fg 1-1ft,fd,5133x,2018-10-19,Malik,Monk
SG,"Snell, Tony",13.9,"$3,500",mil,v ind,118-101,17:50,10pt 2rb 1as 2trey 4-7fg 0-1ft,fd,4571x,2018-10-19,Tony,Snell
SG,"Trier, Allonzo",13.6,"$3,900",nyk,@ bkn,105-107,15:31,8pt 3rb 1st 1to 2-8fg 4-4ft,fd,5701x,2018-10-19,Allonzo,Trier
PG,"Lin, Jeremy",13.4,"$4,400",atl,@ mem,117-131,17:19,9pt 2rb 2as 1to 3-5fg 3-4ft,fd,4297x,2018-10-19,Jeremy,Lin
SG,"Harris, Joe^",13.3,"$4,300",bkn,v nyk,107-105,22:37,11pt 4rb 1as 4to 3trey 4-6fg,fd,4733x,2018-10-19,Joe,Harris
PG,"Jones, Tyus",12.5,"$3,500",min,v cle,131-123,16:35,8pt 3as 2trey 3-6fg,fd,4876x,2018-10-19,Tyus,Jones
SG,"Clark, Ian",12.5,"$3,600",nor,v sac,149-129,17:53,13pt 1as 2to 3trey 4-4fg 2-2ft,fd,4611x,2018-10-19,Ian,Clark
SG,"Crabbe, Allen",11.8,"$5,200",bkn,v nyk,107-105,18:16,5pt 4rb 1bl 1to 1trey 2-7fg,fd,4561x,2018-10-19,Allen,Crabbe
SG,"Shumpert, Iman",11.4,"$3,500",sac,@ nor,129-149,20:44,9pt 2rb 3trey 3-4fg,fd,4397x,2018-10-19,Iman,Shumpert
PG,"Parker, Tony",10.6,"$3,800",cha,@ orl,120-88,16:12,0pt 3rb 6as 2to 0-5fg,fd,3313x,2018-10-19,Tony,Parker
SG,"Bradley, Avery^",10.4,"$4,500",lac,v okc,108-92,28:52,3pt 2rb 2as 1st 1to 1trey 1-8fg,fd,4269x,2018-10-19,Avery,Bradley
PG,"Hill, George^",10.2,"$5,700",cle,@ min,123-131,24:57,7pt 1rb 2as 1to 3-7fg 1-2ft,fd,4102x,2018-10-19,George,Hill
PG,"Gilgeous-Alexander, Shai",9.6,"$4,500",lac,v okc,108-92,23:16,2pt 3rb 4as 2to 0-2fg 2-2ft,fd,5690x,2018-10-19,Shai,Gilgeous-Alexander
SG,"DiVincenzo, Donte",9.4,"$3,600",mil,v ind,118-101,20:14,8pt 2rb 1st 4to 1trey 2-5fg 3-4ft,fd,5740x,2018-10-19,Donte,DiVincenzo
SG,"Huerter, Kevin",8.4,"$3,500",atl,@ mem,117-131,13:06,3pt 2rb 2as 1-3fg 1-1ft,fd,5754x,2018-10-19,Kevin,Huerter
SG,"Jackson, Frank",8,"$3,500",nor,v sac,149-129,5:59,5pt 2as 1trey 2-3fg,fd,5168x,2018-10-19,Frank,Jackson
SG,"Diallo, Hamidou",6.6,"$3,500",okc,@ lac,92-108,8:32,3pt 3rb 0-1fg 3-4ft,fd,5737x,2018-10-19,Hamidou,Diallo
PG,"Joseph, Cory",6.2,"$4,200",ind,@ mil,101-118,17:48,3pt 1rb 1st 1to 1-4fg 1-2ft,fd,4405x,2018-10-19,Cory,Joseph
SG,"Dorsey, Tyler",6,"$3,600",atl,@ mem,117-131,12:05,3pt 2as 1trey 1-3fg,fd,5158x,2018-10-19,Tyler,Dorsey
SG,"Brooks, Dillon",5.7,"$3,800",mem,v atl,131-117,17:05,4pt 1rb 1as 1to 1-7fg 2-4ft,fd,5173x,2018-10-19,Dillon,Brooks
SG,"Burks, Alec",5,"$4,100",uta,v gsw,123-124,11:43,5pt 1-7fg 3-3ft,fd,4441x,2018-10-19,Alec,Burks
PG,"Augustin, D.J.^",4.2,"$4,700",orl,v cha,88-120,20:54,2pt 1rb 2as 2to 1-5fg,fd,4078x,2018-10-19,D.J.,Augustin
SG,"Ferguson, Terrance^",4,"$3,500",okc,@ lac,92-108,17:15,4pt 1trey 1-6fg 1-2ft,fd,5225x,2018-10-19,Terrance,Ferguson
SG,"Selden, Wayne",3.2,"$3,500",mem,v atl,131-117,7:32,4pt 1rb 2to 1-1fg 2-2ft,fd,4986x,2018-10-19,Wayne,Selden
SG,"McLemore, Ben",3,"$3,700",sac,@ nor,129-149,5:59,3pt 1trey 1-3fg,fd,4589x,2018-10-19,Ben,McLemore
PG,"Holiday, Aaron",2.7,"$3,500",ind,@ mil,101-118,4:14,0pt 1rb 1as 0-2fg,fd,5747x,2018-10-19,Aaron,Holiday
SG,"Baker, Ron",2.5,"$3,600",nyk,@ bkn,105-107,18:04,1pt 1as 0-3fg 1-2ft,fd,5006x,2018-10-19,Ron,Baker
SG,"Brown, Sterling",2,"$3,500",mil,v ind,118-101,3:44,2pt 1-1fg,fd,5184x,2018-10-19,Sterling,Brown
PG,"Frazier, Tim",1.5,"$3,500",nor,v sac,149-129,4:09,0pt 1as 0-1fg,fd,4717x,2018-10-19,Tim,Frazier
PG,"Sumner, Edmond",1.5,"$3,500",ind,@ mil,101-118,4:14,0pt 1as 0-2ft,fd,5144x,2018-10-19,Edmond,Sumner
SG,"Connaughton, Pat",1.5,"$3,500",mil,v ind,118-101,3:44,0pt 1as 0-2fg,fd,4811x,2018-10-19,Pat,Connaughton
SG,"Graham, Treveon",1.4,"$3,500",bkn,v nyk,107-105,9:43,0pt 2rb 1to 0-1fg,fd,4804x,2018-10-19,Treveon,Graham
SG,"Korver, Kyle",1.2,"$3,500",cle,@ min,123-131,5:14,0pt 1rb 0-1fg,fd,3547x,2018-10-19,Kyle,Korver
PG,"Dellavedova, Matthew",1.2,"$3,700",mil,v ind,118-101,4:14,0pt 1rb 0-1fg,fd,4610x,2018-10-19,Matthew,Dellavedova
PG,"Cook, Quinn",0,"$3,500",gsw,@ uta,124-123,3:06,0pt,fd,4863x,2018-10-19,Quinn,Cook
SG,"Burton, Deonte",0,"$3,500",okc,@ lac,92-108,00:55,0pt,fd,5752x,2018-10-19,Deonte,Burton
SG,"Smith, J.R.",-1,"$4,000",cle,@ min,123-131,3:40,0pt 1to 0-1fg,fd,3669x,2018-10-19,J.R.,Smith
SF,"Durant, Kevin^",63.3,"$10,200",gsw,@ uta,124-123,39:38,38pt 9rb 7as 1st 1bl 2to 1trey 14-25fg 9-9ft,fd,3986x,2018-10-19,Kevin,Durant
PF,"Love, Kevin^",58.3,"$8,000",cle,@ min,123-131,39:28,25pt 19rb 7as 1bl 3to 3trey 6-19fg 10-10ft,fd,4074x,2018-10-19,Kevin,Love
SF,"Antetokounmpo, Giannis^",54.5,"$11,800",mil,v ind,118-101,31:59,26pt 15rb 5as 2st 1bl 6to 12-23fg 2-3ft,fd,4621x,2018-10-19,Giannis,Antetokounmpo
PF,"Davis, Anthony^",54,"$13,300",nor,v sac,149-129,26:45,25pt 10rb 6as 2st 2bl 4to 1trey 8-12fg 8-12ft,fd,4482x,2018-10-19,Anthony,Davis
PF,"Mirotic, Nikola^",49.8,"$7,200",nor,v sac,149-129,31:19,36pt 9rb 2as 5trey 14-21fg 3-6ft,fd,4682x,2018-10-19,Nikola,Mirotic
SF,"Leonard, Kawhi^",47.5,"$9,400",tor,v bos,113-101,35:52,31pt 10rb 3as 1st 3to 2trey 10-25fg 9-9ft,fd,4404x,2018-10-19,Kawhi,Leonard
PF,"Harris, Tobias^",47,"$8,100",lac,v okc,108-92,37:05,26pt 10rb 4as 1st 1bl 3to 2trey 10-22fg 4-8ft,fd,4412x,2018-10-19,Tobias,Harris
SF,"Ingles, Joe^",45.8,"$6,300",uta,v gsw,123-124,35:41,27pt 4rb 4as 2st 1bl 1to 7trey 10-15fg,fd,4701x,2018-10-19,Joe,Ingles
PF,"Bagley, Marvin",44.1,"$4,000",sac,@ nor,129-149,32:38,19pt 8rb 3as 3st 1bl 1to 7-10fg 5-6ft,fd,5714x,2018-10-19,Marvin,Bagley
PF,"Jackson, Jaren",42.4,"$6,100",mem,v atl,131-117,27:36,24pt 7rb 2as 1st 2bl 2to 2trey 8-12fg 6-9ft,fd,5731x,2018-10-19,Jaren,Jackson
SF,"Prince, Taurean^",42.3,"$7,100",atl,@ mem,117-131,23:03,28pt 4rb 3as 3st 4to 4trey 10-15fg 4-4ft,fd,4938x,2018-10-19,Taurean,Prince
SF,"George, Paul^",38.6,"$9,200",okc,@ lac,92-108,38:07,20pt 8rb 4as 2st 3to 3trey 7-27fg 3-3ft,fd,4283x,2018-10-19,Paul,George
PF,"Green, Draymond^",37.8,"$7,400",gsw,@ uta,124-123,33:12,14pt 9rb 6as 1st 2bl 5to 1trey 6-12fg 1-2ft,fd,4504x,2018-10-19,Draymond,Green
SF,"Osman, Cedi^",37.6,"$6,200",cle,@ min,123-131,35:06,22pt 3rb 8as 1st 3to 4trey 9-17fg 0-2ft,fd,5116x,2018-10-19,Cedi,Osman
SF,"Crowder, Jae",37.4,"$4,700",uta,v gsw,123-124,28:33,17pt 7rb 4as 2st 2trey 4-9fg 7-7ft,fd,4472x,2018-10-19,Jae,Crowder
SF,"Wiggins, Andrew^",36.6,"$6,800",min,v cle,131-123,36:32,22pt 3rb 2as 3st 1to 1trey 8-21fg 5-5ft,fd,4704x,2018-10-19,Andrew,Wiggins
SF,"Kidd-Gilchrist, Michael",35.3,"$4,300",cha,@ orl,120-88,22:29,12pt 9rb 5as 2bl 1to 5-8fg 2-4ft,fd,4532x,2018-10-19,Michael,Kidd-Gilchrist
SF,"Batum, Nicolas^",33.7,"$7,100",cha,@ orl,120-88,29:59,15pt 6rb 5as 2st 2to 3trey 6-8fg,fd,4086x,2018-10-19,Nicolas,Batum
SF,"Gallinari, Danilo^",33.5,"$6,500",lac,v okc,108-92,26:36,26pt 5rb 1as 4trey 10-16fg 2-3ft,fd,4082x,2018-10-19,Danilo,Gallinari
PF,"Ibaka, Serge^",33.2,"$5,600",tor,v bos,113-101,33:32,21pt 6rb 2as 1bl 1to 1trey 10-14fg 0-1ft,fd,4104x,2018-10-19,Serge,Ibaka
PF,"Tatum, Jayson^",30.8,"$6,400",bos,@ tor,101-113,36:47,16pt 9rb 2as 1st 1bl 5to 2trey 6-16fg 2-2ft,fd,5111x,2018-10-19,Jayson,Tatum
PF,"Sabonis, Domantas",30.6,"$5,600",ind,@ mil,101-118,22:10,12pt 13rb 2as 1st 3to 4-6fg 4-4ft,fd,4921x,2018-10-19,Domantas,Sabonis
PF,"Henson, John",29.8,"$3,700",mil,v ind,118-101,22:26,10pt 9rb 3bl 2trey 3-7fg 2-4ft,fd,4525x,2018-10-19,John,Henson
SF,"Bridges, Miles",29.6,"$3,500",cha,@ orl,120-88,14:24,15pt 8rb 2as 1bl 1to 3trey 6-8fg,fd,5657x,2018-10-19,Miles,Bridges
PF,"Gordon, Aaron^",29,"$8,400",orl,v cha,88-120,24:54,5pt 10rb 2as 2st 2bl 3to 2-9fg 1-1ft,fd,4705x,2018-10-19,Aaron,Gordon
SF,"Evans, Tyreke",28,"$6,900",ind,@ mil,101-118,22:38,10pt 5rb 4as 2st 1bl 3to 1trey 4-10fg 1-2ft,fd,4207x,2018-10-19,Tyreke,Evans
SF,"Hayward, Gordon^",27.4,"$7,100",bos,@ tor,101-113,24:17,14pt 7rb 2as 1st 1to 1trey 6-13fg 1-1ft,fd,4285x,2018-10-19,Gordon,Hayward
SF,"Anderson, Kyle",25.8,"$5,400",mem,v atl,131-117,19:53,3pt 4rb 4as 4st 1bl 3to 1-3fg 1-2ft,fd,4736x,2018-10-19,Kyle,Anderson
PF,"Poythress, Alex",25.4,"$3,500",atl,@ mem,117-131,21:29,8pt 7rb 2as 1st 1bl 1trey 3-4fg 1-4ft,fd,4985x,2018-10-19,Alex,Poythress
PF,"Knox, Kevin",24.2,"$4,700",nyk,@ bkn,105-107,28:08,17pt 6rb 3trey 7-14fg,fd,5705x,2018-10-19,Kevin,Knox
PF,"Gibson, Taj^",23.6,"$4,900",min,v cle,131-123,28:10,13pt 8rb 2as 2to 5-10fg 3-4ft,fd,4167x,2018-10-19,Taj,Gibson
PF,"Jerebko, Jonas",20.7,"$3,500",gsw,@ uta,124-123,23:46,10pt 6rb 1as 1st 1to 2trey 4-5fg,fd,4187x,2018-10-19,Jonas,Jerebko
SF,"Dudley, Jared^",20.5,"$3,800",bkn,v nyk,107-105,27:04,7pt 5rb 3as 1st 1trey 3-5fg,fd,3985x,2018-10-19,Jared,Dudley
PF,"Grant, Jerami",19.6,"$4,800",okc,@ lac,92-108,27:38,4pt 8rb 2as 2bl 3to 1-4fg 2-4ft,fd,4765x,2018-10-19,Jerami,Grant
SF,"Moore, E'Twaun^",19,"$4,800",nor,v sac,149-129,23:42,10pt 2as 1st 1bl 5-11fg,fd,4364x,2018-10-19,E'Twaun,Moore
SF,"Casspi, Omri",18.8,"$3,800",mem,v atl,131-117,24:03,11pt 4rb 2as 4-8fg 3-6ft,fd,4209x,2018-10-19,Omri,Casspi
SF,"Iwundu, Wes",18.8,"$3,500",orl,v cha,88-120,14:52,11pt 4rb 1st 4-11fg 3-5ft,fd,5152x,2018-10-19,Wes,Iwundu
SF,"McDermott, Doug",18.5,"$3,700",ind,@ mil,101-118,20:21,14pt 1as 1st 4trey 5-8fg,fd,4669x,2018-10-19,Doug,McDermott
PF,"Tolliver, Anthony",18.4,"$3,500",min,v cle,131-123,19:47,11pt 2rb 2st 1to 3trey 3-7fg 2-3ft,fd,4049x,2018-10-19,Anthony,Tolliver
SF,"Bembry, DeAndre",18.1,"$3,600",atl,@ mem,117-131,32:26,12pt 3rb 1as 1st 1bl 5to 1trey 4-11fg 3-6ft,fd,5001x,2018-10-19,DeAndre,Bembry
PF,"Green, JaMychal^",18,"$5,100",mem,v atl,131-117,14:01,6pt 5rb 2as 2st 3to 2-8fg 2-2ft,fd,4581x,2018-10-19,JaMychal,Green
PF,"Niang, Georges",16.1,"$3,500",uta,v gsw,123-124,8:41,8pt 3rb 1as 1bl 2trey 3-7fg,fd,5015x,2018-10-19,Georges,Niang
SF,"Parsons, Chandler^",15.4,"$4,100",mem,v atl,131-117,17:17,11pt 2rb 2as 1to 3trey 4-6fg,fd,4461x,2018-10-19,Chandler,Parsons
PF,"Kurucs, Rodions",15,"$3,500",bkn,v nyk,107-105,17:19,11pt 5rb 2to 1trey 3-8fg 4-4ft,fd,5735x,2018-10-19,Rodions,Kurucs
PF,"Zizic, Ante",14.2,"$3,500",cle,@ min,123-131,10:51,7pt 1rb 2as 1st 2-3fg 3-4ft,fd,5119x,2018-10-19,Ante,Zizic
SF,"Miller, Darius",13.2,"$3,500",nor,v sac,149-129,22:45,10pt 1rb 2as 1to 3trey 3-7fg 1-1ft,fd,4484x,2018-10-19,Darius,Miller
PF,"Favors, Derrick^",13,"$6,100",uta,v gsw,123-124,20:58,5pt 5rb 2st 4to 2-5fg 1-2ft,fd,4280x,2018-10-19,Derrick,Favors
PF,"Morris, Marcus",12.9,"$4,500",bos,@ tor,101-113,25:45,8pt 2rb 1as 1bl 2to 2trey 3-7fg,fd,4407x,2018-10-19,Marcus,Morris
SF,"Anunoby, OG",12.8,"$3,900",tor,v bos,113-101,21:18,9pt 4rb 1to 1trey 4-6fg,fd,5241x,2018-10-19,OG,Anunoby
PF,"Vonleh, Noah",12.2,"$4,000",nyk,@ bkn,105-107,11:27,2pt 6rb 1bl 0-2fg 2-2ft,fd,4761x,2018-10-19,Noah,Vonleh
PF,"Williams, Marvin^",11.8,"$4,900",cha,@ orl,120-88,20:29,8pt 4rb 1to 2trey 3-7fg,fd,3817x,2018-10-19,Marvin,Williams
PF,"Ilyasova, Ersan",11.6,"$4,500",mil,v ind,118-101,23:43,3pt 3rb 1st 1bl 1to 1trey 1-3fg,fd,3765x,2018-10-19,Ersan,Ilyasova
PF,"Giles, Harry",11.3,"$3,500",sac,@ nor,129-149,18:40,7pt 4rb 1as 2to 3-11fg 1-4ft,fd,5167x,2018-10-19,Harry,Giles
PF,"Harrell, Montrezl",11.3,"$4,600",lac,v okc,108-92,13:04,3pt 4rb 1as 2bl 4to 0-1fg 3-4ft,fd,4857x,2018-10-19,Montrezl,Harrell
SF,"Simmons, Jonathon",11.1,"$4,800",orl,v cha,88-120,22:41,7pt 3rb 1as 1to 1trey 3-9fg,fd,4890x,2018-10-19,Jonathon,Simmons
PF,"Siakam, Pascal^",11,"$5,000",tor,v bos,113-101,17:36,4pt 5rb 2as 2to 2-6fg,fd,4929x,2018-10-19,Pascal,Siakam
PF,"Looney, Kevon",10.9,"$4,100",gsw,@ uta,124-123,18:36,4pt 2rb 1as 1st 2-3fg,fd,4820x,2018-10-19,Kevon,Looney
PF,"Patterson, Patrick^",10.4,"$3,600",okc,@ lac,92-108,19:27,5pt 2rb 1bl 1trey 2-4fg,fd,4302x,2018-10-19,Patrick,Patterson
SF,"Jackson, Justin",10.3,"$4,200",sac,@ nor,129-149,21:22,2pt 4rb 1as 1st 1to 1-6fg,fd,5135x,2018-10-19,Justin,Jackson
PF,"Martin, Jarell",9.9,"$3,700",orl,v cha,88-120,12:00,6pt 2rb 1as 3-4fg,fd,4850x,2018-10-19,Jarell,Martin
SF,"Dekker, Sam",9.7,"$3,500",cle,@ min,123-131,8:54,5pt 1rb 1as 1st 1to 1trey 1-3fg 2-2ft,fd,4856x,2018-10-19,Sam,Dekker
PF,"Young, Thaddeus^",9.2,"$5,100",ind,@ mil,101-118,26:56,7pt 1rb 1st 2to 3-5fg 1-2ft,fd,4037x,2018-10-19,Thaddeus,Young
SF,"Isaac, Jonathan^",9,"$5,200",orl,v cha,88-120,14:25,2pt 5rb 1st 2to 1-3fg,fd,5137x,2018-10-19,Jonathan,Isaac
SF,"Powell, Norman",8.9,"$3,500",tor,v bos,113-101,10:27,2pt 2rb 1as 1st 1-5fg,fd,4792x,2018-10-19,Norman,Powell
